slug,state,type,total_cameras,data_retention_days,organization_count,receiving_organization_count,public_search_audit,data_last_updated,source
chesterfield-mo-pd,MO,PD,11,30,,,False,2026-07-22T15:52:16.247Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
cheyenne-wy-pd,WY,PD,23,30,,,False,2026-08-26T10:06:23.436Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
chilhowie-va-pd,VA,PD,4,21,33,29,True,2026-08-26T17:36:37.292Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
chisago-county-mn-so,MN,SD,15,30,80,,False,2026-08-26T22:37:47.906Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
chula-vista-ca-pd,CA,PD,150,30,317,,True,2026-08-27T00:04:36.643Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
citrus-heights-ca-pd,CA,PD,73,30,349,,True,2026-08-26T20:54:02.385Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
city-of-franklin-va-pd,VA,PD,32,21,,,False,2026-08-26T16:09:58.836Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
city-of-half-moon-bay-smcso-,CA,SD,14,30,282,7,False,2026-08-26T16:30:42.247Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
city-of-las-vegas-nv-department-of-public-safety,NV,PD,22,,6,,False,2026-08-26T22:19:06.706Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
city-of-lemoore-ca,CA,PD,20,30,279,,True,2026-08-26T16:32:44.649Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
city-of-peoria-pd,AZ,PD,81,30,,,False,2026-08-26T17:13:13.886Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
city-of-riverside-ca-pd-,CA,PD,119,30,325,,True,2026-08-26T17:32:28.432Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
city-of-willard-mo-pd,MO,PD,19,30,0,10,False,2026-08-26T20:05:45.374Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
claflin-university-sc-pd,SC,PD,6,30,147,,False,2026-08-27T00:34:43.854Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
clark-county-oh-so,OH,SD,33,30,2096,,True,2026-06-01T17:41:25.512Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
clayton-de-pd,DE,PD,4,7,,,False,2026-08-26T23:53:39.689Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
clayton-mo-pd,MO,PD,20,30,214,,True,2026-08-26T09:10:20.009Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
clear-lake-ia-pd,IA,PD,11,30,40,80,True,2026-08-26T17:19:29.052Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
clearlake-ca-pd,CA,PD,31,30,134,,False,2026-08-26T16:06:19.751Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
cleveland-county-so-,NC,SD,33,30,,,True,2026-08-26T11:45:11.240Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
clinton-ct-pd,CT,PD,,30,471,,True,2026-08-26T20:49:17.218Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
clinton-ia-pd,IA,PD,8,30,138,,True,2026-08-26T08:55:20.874Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
clive-ia-pd,IA,PD,20,30,184,,True,2026-08-26T11:03:02.634Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
clover-sc-pd,SC,PD,7,30,,,False,2026-08-26T08:38:43.421Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
co-erie-pd,CO,PD,24,30,,,False,2026-08-26T19:43:53.770Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
co-fort-lewis-college-pd,CO,PD,3,30,0,,False,2026-08-26T12:59:53.800Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
